Lithology,Count,Percentage,Rank
nannofossil ooze,49778,20.87075377558636,1
clay,37237,15.612605133623472,2
silty clay,18048,7.567105230057106,3
wackestone,14230,5.966306927289041,4
packstone,12548,5.261083578610181,5
mudstone,9952,4.172641359127233,6
claystone,9470,3.970550007127703,7
nannofossil chalk,7894,3.309769984822185,8
diatom ooze,6095,2.555491266467091,9
clayey silt,5406,2.266609645040376,10
sand,5395,2.2619976017374825,11
mud,4894,2.0519399931238627,12
silty claystone,3798,1.5924127694900758,13
nannofossil clay,3487,1.4620177270173496,14
chalk,3410,1.429733423897093,15
interbedded silt and clay,2570,1.0775410262215626,16
gabbro,2522,1.0574157463543894,17
sandstone,2448,1.0263892732258308,18
calcareous ooze,2409,1.0100374833337527,19
basalt,2401,1.0066832700225572,20
foraminifera ooze,2213,0.9278592572094622,21
grainstone,2108,0.883835207500021,22
silty sand,1941,0.8138160046288143,23
siltstone,1614,0.6767125355336973,24
clast-poor sandy diamict,1380,0.5786017961812282,25
pebbly mud,1222,0.5123560832851165,26
silt,1199,0.5027127200154293,27
medium to coarse sandstone,1147,0.4809103334926585,28
lapilli tuff,1131,0.47420190687026736,29
sandy silt,1086,0.4553344569947926,30
breccia,1022,0.42850075050522834,31
fine sand,891,0.37357550753440166,32
silty sandstone,887,0.3718984008788039,33
tuff,855,0.3584815476340218,34
clast-rich sandy diamict,853,0.35764299430622287,35
interbedded siltstone and mudstone,809,0.33919482109464755,36
diatomite,789,0.3308092878166587,37
conglomerate,644,0.2700141715512398,38
boninite,596,0.24988889168406667,39
interbedded sand and mud,582,0.24401901838947448,40
marl,545,0.22850578182519518,41
ash,541,0.22682867516959743,42
ash/tuff,522,0.21886241855550806,43
biosiliceous ooze,490,0.20544556531072594,44
fine sandstone,466,0.19538292537713936,45
limestone,452,0.18951305208254718,46
breccia/conglomerate,437,0.1832239021240556,47
very fine sand,435,0.1823853487962567,48
clast-poor muddy diamict,420,0.1760961988377651,49
lapillistone,379,0.15890585561788803,50
rudstone,343,0.14381189571750816,51
clayey siltstone,333,0.13961912907851376,52
interbedded sandstone and mudstone,321,0.13458780911172044,53
silty mud,303,0.12704082916153053,54
tephra,302,0.1266215524976311,55
sandy mud/mudstone to muddy sand/sandstone,299,0.12536372250593278,56
foraminifera chalk,292,0.12242878585863669,57
clast-rich muddy diamict,284,0.11907457254744114,58
hyaloclastite,256,0.10733482595825682,59
calcarenite,253,0.1060769959665585,60
volcanic rock,250,0.10481916597486016,61
sandy siltstone,219,0.09182158939397751,62
interbedded mud/mudstone and diamict,204,0.0855324394354859,63
foraminifera clay,173,0.07253486285460324,64
dolostone,173,0.07253486285460324,65
diorite,165,0.06918064954340772,66
volcaniclastic rock,164,0.06876137287950827,67
marlstone,157,0.06582643623221218,68
lapilli tephra,155,0.0649878829044133,69
dolerite,147,0.061633669593217776,70
sandy clay,131,0.05492524297082673,71
schist,123,0.0515710296596312,72
lapilli ash,101,0.04234694305384351,73
gravel,92,0.03857345307874854,74
interbedded sand/sandstone and mud/mudstone,92,0.03857345307874854,75
medium to coarse sand,91,0.0381541764148491,76
sandy mud,89,0.03731562308705022,77
medium sand,78,0.032703579784156375,78
clayey sand,78,0.032703579784156375,79
floatstone,76,0.03186502645635749,80
clayey sandstone,68,0.02851081314516197,81
debris flow,66,0.027672259817363088,82
sand-silt-clay,64,0.026833706489564204,83
calcilutite,62,0.025995153161765323,84
sandy mudstone,60,0.02515659983396644,85
clayey mud,52,0.021802386522770917,86
harzburgite,50,0.020963833194972033,87
dacite,46,0.01928672653937427,88
lava,39,0.016351789892078188,89
carbonate ooze,38,0.015932513228178746,90
andesite,38,0.015932513228178746,91
sandy claystone,37,0.015513236564279305,92
silty mudstone,33,0.013836129908681544,93
muddy sand/sandstone to silty mud/mudstone,32,0.013416853244782102,94
agglomerate,30,0.01257829991698322,95
ooze,28,0.011739746589184339,96
felsic patch,26,0.010901193261385458,97
gravelly sandstone,25,0.010481916597486016,98
coarse sand,24,0.010062639933586576,99
muddy silt,24,0.010062639933586576,100
nannofossil mud,23,0.009643363269687136,101
dunite,22,0.009224086605787695,102
cataclasite,19,0.007966256614089373,103
radiolarian ooze,18,0.0075469799501899325,104
chert,18,0.0075469799501899325,105
gabbronorite,16,0.006708426622391051,106
foraminifera limestone,16,0.006708426622391051,107
diabase,13,0.005450596630692729,108
granofels,11,0.004612043302893848,109
radiolarian mud,9,0.0037734899750949662,110
ultramafic rock,8,0.0033542133111955255,111
fine tuff,7,0.0029349366472960848,112
foraminifera sand,7,0.0029349366472960848,113
foraminifera mud,7,0.0029349366472960848,114
rhyodacite,6,0.002515659983396644,115
metavolcanic rock,6,0.002515659983396644,116
coarse sand and gravel,5,0.0020963833194972033,117
coarse sandstone,5,0.0020963833194972033,118
very fine sandstone,5,0.0020963833194972033,119
boundstone,5,0.0020963833194972033,120
metabasite,4,0.0016771066555977627,121
porcellanite,4,0.0016771066555977627,122
pebbly sandstone,4,0.0016771066555977627,123
pebbly mudstone,4,0.0016771066555977627,124
marble,3,0.001257829991698322,125
felsic vein,3,0.001257829991698322,126
diatom silt,3,0.001257829991698322,127
carbonate,3,0.001257829991698322,128
muddy sand,3,0.001257829991698322,129
coal,2,0.0008385533277988814,130
gypsum rock,2,0.0008385533277988814,131
foraminifera sandstone,2,0.0008385533277988814,132
sandy silt to silty sand,2,0.0008385533277988814,133
breccia/conglomerate/gravel,2,0.0008385533277988814,134
metaclaystone,1,0.0004192766638994407,135
anhydrite rock,1,0.0004192766638994407,136
serpentinite,1,0.0004192766638994407,137
muddy siltstone,1,0.0004192766638994407,138
gravelly sand,1,0.0004192766638994407,139
