beta_end,fold,ari
0.5,1,0.15968627972653615
0.5,2,0.1750588826104909
0.5,3,0.1825194504785239
0.5,4,0.22052342153527635
0.5,5,0.1458904110989103
0.75,1,0.1631023405433873
0.75,2,0.21115299090450837
0.75,3,0.1824437989112103
0.75,4,0.2121966153335261
0.75,5,0.16213189739588713
1.0,1,0.16870338463012968
1.0,2,0.19353146080636854
1.0,3,0.18087540507377228
1.0,4,0.22329277473314174
1.0,5,0.1596301280598165
1.5,1,0.16786562070508768
1.5,2,0.2120122565405083
1.5,3,0.15173452609924673
1.5,4,0.24192565458620105
1.5,5,0.15896625232480038
2.0,1,0.14623956551679013
2.0,2,0.2070205529311751
2.0,3,0.1954267409743956
2.0,4,0.23218979838725873
2.0,5,0.1682007166171948
