method,k,ARI,Silhouette
K-Means,10,0.21780707274015149,0.3384703993797302
K-Means,12,0.23321084595588892,0.3335154354572296
K-Means,15,0.2370172116067015,0.3106302320957184
K-Means,18,0.24475408122080636,0.3095725178718567
K-Means,20,0.2373665405390085,0.29863211512565613
GMM,10,0.2342908855899705,0.2771856486797333
GMM,12,0.24767604909399163,0.2429276555776596
GMM,15,0.2316630321626627,0.23487116396427155
GMM,18,0.28573779445194897,0.24892622232437134
GMM,20,0.2693271034446639,0.23223774135112762
