method,min_cluster_size,min_samples,n_clusters,n_noise,noise_pct,ari,silhouette
HDBSCAN,50.0,10.0,4,1580,5.164580132710097,0.04117061225547807,0.17605622112751007
HDBSCAN,100.0,10.0,13,8174,26.718530382767298,0.17026753008085255,0.2929672300815582
HDBSCAN,200.0,10.0,11,10729,35.070114078383945,0.15351881609039716,0.332634836435318
HDBSCAN,300.0,10.0,9,11252,36.779655476743045,0.14209505430753375,0.37431100010871887
HDBSCAN,500.0,10.0,2,714,2.333867224528487,0.034959884328180195,0.5416721105575562
HDBSCAN,750.0,10.0,2,714,2.333867224528487,0.034959884328180195,0.5470101833343506
HDBSCAN,1000.0,10.0,2,714,2.333867224528487,0.034959884328180195,0.5482171177864075
HDBSCAN,1500.0,10.0,2,714,2.333867224528487,0.034959884328180195,0.5453992486000061
HDBSCAN,2000.0,10.0,2,714,2.333867224528487,0.034959884328180195,0.5484936237335205
HDBSCAN,3000.0,10.0,2,16099,52.62314908639231,0.06863731026808367,0.34091559052467346
HDBSCAN,50.0,20.0,4,1633,5.337822377668094,0.029133543939163196,0.3633149266242981
HDBSCAN,100.0,20.0,21,14640,47.854084267642925,0.0937470964103693,0.3494543433189392
HDBSCAN,200.0,20.0,7,6110,19.971888994214364,0.08120841341255966,0.23664607107639313
HDBSCAN,300.0,20.0,2,794,2.595364952766973,0.03536540653164542,0.5516934990882874
HDBSCAN,500.0,20.0,2,794,2.595364952766973,0.03536540653164542,0.5477114915847778
HDBSCAN,750.0,20.0,2,794,2.595364952766973,0.03536540653164542,0.5502073168754578
HDBSCAN,1000.0,20.0,2,794,2.595364952766973,0.03536540653164542,0.5553343296051025
HDBSCAN,1500.0,20.0,2,794,2.595364952766973,0.03536540653164542,0.545350193977356
HDBSCAN,2000.0,20.0,2,794,2.595364952766973,0.03536540653164542,0.5536814332008362
HDBSCAN,3000.0,20.0,2,17486,57.15686594972706,0.05567078864507277,0.3489495813846588
HDBSCAN,50.0,50.0,17,13174,43.06213839767267,0.10493389605121743,0.3167048692703247
HDBSCAN,100.0,50.0,15,13226,43.23211192102769,0.105442123238704,0.32224273681640625
HDBSCAN,200.0,50.0,2,1221,3.9911090772398916,0.036418730108269154,0.5550357103347778
HDBSCAN,300.0,50.0,2,1221,3.9911090772398916,0.036418730108269154,0.5573816895484924
HDBSCAN,500.0,50.0,2,1221,3.9911090772398916,0.036418730108269154,0.5584126710891724
HDBSCAN,750.0,50.0,5,10932,35.733664563789105,0.12747964023936367,0.376038521528244
HDBSCAN,1000.0,50.0,2,1221,3.9911090772398916,0.036418730108269154,0.5569286942481995
HDBSCAN,1500.0,50.0,2,1221,3.9911090772398916,0.036418730108269154,0.5560911297798157
HDBSCAN,2000.0,50.0,2,1221,3.9911090772398916,0.036418730108269154,0.5634839534759521
HDBSCAN,3000.0,50.0,2,15867,51.8648056745007,0.0678191767914598,0.3457195460796356
K-Means,,,12,0,0.0,0.2578749621540467,0.3346652686595917
GMM (full),,,18,0,0.0,0.29051712905411736,0.22468474507331848
